1,2033,24189
1,1927,688
1,1802,4252
1,1702,19185
1,1555,17280
6,1754,9795
6,1608,4047
5,1641,5595
5,1523,16189
4,2050,3793
4,1913,14187
4,1755,24302
4,1559,25028
3,1934,7541
3,1733,2088
3,1538,5042
2,1610,28345
1,2043,5629
1,1845,6424
1,1642,4512
0,2103,4162
5,1858,4066
4,2128,4890
4,1833,3060
4,1627,3550
3,1617,8757
2,1847,5133
2,1659,4517
5,1453,4404
4,2217,2232
1,1601,35401
0,1919,33885
6,1505,4403
5,2154,7447
5,2054,3836
5,1917,8836
5,1912,8953
5,1718,3215
5,1555,5993
5,235,9098
5,5,6366
4,2154,8185
4,1929,14803
4,1749,3703
4,1534,21874
3,2230,4865
3,2117,8456
2,1836,4771
2,1736,28076
2,1635,3423
2,1535,16777
1,2104,8019
1,2038,590
1,1934,19924
1,1815,4752
1,1658,7789
1,1523,1788
1,33,4903
0,2325,12824
0,2213,6437
0,2107,5391
0,1941,7807
0,1749,113528
0,1400,3721
6,2120,28392
6,1914,3446
5,2315,6085
5,2112,4600
5,1957,6518
5,1835,9136
5,1652,3516
5,1533,27335
4,2222,6019
4,2102,24122
4,1839,3538
4,1734,1484
4,1553,2458
4,130,31401
3,2233,8270
3,1839,22146
3,1731,22118
3,1516,6206
2,2202,6377
2,2052,2787
2,1947,5789
2,1745,8538
2,1546,129466
1,1929,3605
1,1709,2947
1,1609,4226
0,1759,10815
0,1649,68659
6,2328,4863
6,1928,6088
6,1531,31631
5,2107,10652
5,1823,3466
5,141,2618
1,1652,33120
0,1836,17150
0,1717,4756
5,2056,73859
5,1953,24012
5,1747,7246
5,1625,3542
5,43,11574
3,2131,28302
2,2157,18781
2,2052,5056
2,1833,3575
2,1658,3667
2,1524,31460
1,2146,13847
1,1909,7879
1,1700,2677
1,1532,32112
6,1541,41430
5,2045,4156
5,1938,9492
5,1735,2692
5,1557,3020
4,2330,7223
4,2231,6876
4,2124,12588
4,2009,9145
4,1808,7025
4,1653,15190
4,1534,36114
3,2347,2217
3,2305,552
3,2204,12060
3,2108,2145
3,2020,2386
3,1953,13388
3,1931,2023
3,1833,1823
3,1637,3528
